PEDIGREE,SHD,Days_SHD,GDD_SHD,SK,Days_SK,GDD_SK
B104,25-Jul,56,1680,28-Jul,59,1775
B104,22-Jul,53,1587,25-Jul,56,1680
B104,23-Jul,54,1616.5,25-Jul,56,1680
B73,25-Jul,56,1680,25-Jul,56,1680
B73,23-Jul,54,1616.5,23-Jul,54,1616.5
B73,24-Jul,55,1648,24-Jul,55,1648
Mo17,23-Jul,54,1616.5,25-Jul,56,1680
Mo17,22-Jul,53,1587,23-Jul,54,1616.5
Mo17,22-Jul,53,1587,23-Jul,54,1616.5
CML277 ,30-Jul,61,1837,28-Jul,59,1775
CML277,31-Jul,62,1868.5,29-Jul,60,1806
CML277,5-Aug,67,2027.5,2-Aug,64,1932
CML10,31-Jul,62,1868.5,1-Aug,63,1900
CML10,28-Jul,59,1775,29-Jul,60,1806
CML10,29-Jul,60,1806,29-Jul,60,1806
Tzi9,3-Aug,65,1963.5,29-Jul,60,1806
Tzi9,2-Aug,64,1932,30-Jul,61,1837
Tzi9,30-Jul,61,1837,26-Jul,57,1712
CML258,3-Aug,65,1963.5,3-Aug,65,1963.5
CML258,3-Aug,65,1963.5,3-Aug,65,1963.5
CML258,3-Aug,65,1963.5,2-Aug,64,1932
Tzi8,29-Jul,60,1806,27-Jul,58,1744
Tzi8,31-Jul,62,1868.5,30-Jul,61,1837
Tzi8,28-Jul,59,1775,26-Jul,57,1712
